smiles,value,wdgraph_string
*C*,47.8,['[1*]C[2*].[3*]C[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C,44.47,['[1*]CC([2*])C.[3*]CC([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)CC,34.04,['[1*]CC([2*])CC.[3*]CC([4*])CC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)CCC,20.01,['[1*]CC([2*])CCC.[3*]CC([4*])CCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)CC(C)C,21.64,['[1*]CC([2*])CC(C)C.[3*]CC([4*])CC(C)C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCCCCCCC(*)C,31.47,['[1*]CCCCCCCC([2*])C.[3*]CCCCCCCC([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)CCCCCC,75.06,['[1*]CC([2*])CCCCCC.[3*]CC([4*])CCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*C=CCCC*,14.57,['[1*]C=CCCC[2*].[3*]C=CCCC[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*C=CCC*,13.1,['[1*]C=CCC[2*].[3*]C=CCC[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*C=CCCCCCC*,22.67,['[1*]C=CCCCCCC[2*].[3*]C=CCCCCCC[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)c1ccccc1,27.37,['[1*]CC([2*])c1ccccc1.[3*]CC([4*])c1ccccc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)c1ccc(C)cc1,18.59,['[1*]CC([2*])c1ccc(C)cc1.[3*]CC([4*])c1ccc(C)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(C)c1ccc(C)cc1,34.09,['[1*]CC([2*])(C)c1ccc(C)cc1.[3*]CC([4*])(C)c1ccc(C)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)c1ccc(O)cc1,11.0,['[1*]CC([2*])c1ccc(O)cc1.[3*]CC([4*])c1ccc(O)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)O,39.089205,['[1*]CC([2*])O.[3*]CC([4*])O|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)OC(=O)CCCCCCCCCCC,12.02,['[1*]CC([2*])OC(=O)CCCCCCCCCCC.[3*]CC([4*])OC(=O)CCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)OC(=O)CCCCCCCCCCCCCCC,33.35,['[1*]CC([2*])OC(=O)CCCCCCCCCCCCCCC.[3*]CC([4*])OC(=O)CCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,37.02,['[1*]CC([2*])OC(=O)CCCCCCCCCCCCCCCCC.[3*]CC([4*])OC(=O)CCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(C)C#N,8.0,['[1*]CC([2*])(C)C#N.[3*]CC([4*])(C)C#N|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)OC(C)C,53.86,['[1*]CC([2*])C(=O)OC(C)C.[3*]CC([4*])C(=O)OC(C)C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)OCCCCCCCCCCCC,17.77,['[1*]CC([2*])C(=O)OCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)OCCCCCCCCCCCCCC,27.01,['[1*]CC([2*])C(=O)OCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,39.64,['[1*]CC([2*])C(=O)OCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,43.74,['[1*]CC([2*])C(=O)OCCCCCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(C)C(=O)OC,12.63789474,['[1*]CC([2*])(C)C(=O)OC.[3*]CC([4*])(C)C(=O)OC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(C)C(=O)OCCCCCCCCCCCC,3.98,['[1*]CC([2*])(C)C(=O)OCCCCCCCCCCCC.[3*]CC([4*])(C)C(=O)OCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,17.37,['[1*]CC([2*])(C)C(=O)OCCCCCCCCCCCCCCCC.[3*]CC([4*])(C)C(=O)OCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,21.64,['[1*]CC([2*])(C)C(=O)OCCCCCCCCCCCCCCCCCC.[3*]CC([4*])(C)C(=O)OCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)NCCCCCCCCCCCC,1.76,['[1*]CC([2*])C(=O)NCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)NCCCCCCCCCCCCCC,9.79,['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)NCCCCCCCCCCCCCCCC,16.73,['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,21.61,['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,35.71,['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(F)F,41.3664625,['[1*]CC([2*])(F)F.[3*]CC([4*])(F)F|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(*)(Cl)Cl,67.76,['[1*]CC([2*])(Cl)Cl.[3*]CC([4*])(Cl)Cl|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*C(F)C(*)(F)F,72.97,['[1*]C(F)C([2*])(F)F.[3*]C(F)C([4*])(F)F|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*C(F)(F)C(*)(F)Cl,77.15,['[1*]C(F)(F)C([2*])(F)Cl.[3*]C(F)(F)C([4*])(F)Cl|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCC=C(*)Cl,90.11,['[1*]CCC=C([2*])Cl.[3*]CCC=C([4*])Cl|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCC(F)(F)C(*)(F)F,43.69,['[1*]CCC(F)(F)C([2*])(F)F.[3*]CCC(F)(F)C([4*])(F)F|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCC=C(*)C,52.26,['[1*]CCC=C([2*])C.[3*]CCC=C([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*C=CC(C)C*,62.19,['[1*]C=CC(C)C[2*].[3*]C=CC(C)C[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(C)C=C(*)C,45.53,['[1*]CC(C)C=C([2*])C.[3*]CC(C)C=C([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CO*,97.74314666,['[1*]CO[2*].[3*]CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCO*,70.6655082,['[1*]CCO[2*].[3*]CCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(C)O*,77.61,['[1*]CC(C)O[2*].[3*]CC(C)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(CCl)O*,51.33,['[1*]CC(CCl)O[2*].[3*]CC(CCl)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(O*)C(C)(C)C,20.98,['[1*]CC(O[2*])C(C)(C)C.[3*]CC(O[4*])C(C)(C)C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCCO*,55.46,['[1*]CCCO[2*].[3*]CCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(C)(C)CO*,47.31,['[1*]CC(C)(C)CO[2*].[3*]CC(C)(C)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(CO)(CO)CO*,90.22,['[1*]CC(CO)(CO)CO[2*].[3*]CC(CO)(CO)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(CO*)(COCC)COCC,26.85,['[1*]CC(CO[2*])(COCC)COCC.[3*]CC(CO[4*])(COCC)COCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCCCO*,17.54872941,['[1*]CCCCO[2*].[3*]CCCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCCCCCO*,93.3,['[1*]CCCCCCO[2*].[3*]CCCCCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCCCCCCCO*,92.75,['[1*]CCCCCCCCO[2*].[3*]CCCCCCCCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1c(C)cc(*)cc1C,62.833401,['[1*]Oc1c(C)cc([2*])cc1C.[3*]Oc1c(C)cc([4*])cc1C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1c(OC)cc(*)cc1OC,19.88,['[1*]Oc1c(OC)cc([2*])cc1OC.[3*]Oc1c(OC)cc([4*])cc1OC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,73.4,['[1*]Oc1c(-c2ccccc2)cc([2*])cc1-c1ccccc1.[3*]Oc1c(-c2ccccc2)cc([4*])cc1-c1ccccc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOCO*,62.84,['[1*]CCOCO[2*].[3*]CCOCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCCCOCO*,65.43,['[1*]CCCCOCO[2*].[3*]CCCCOCO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOC(=O)c1ccc(O*)cc1,67.44,['[1*]CCOC(=O)c1ccc(O[2*])cc1.[3*]CCOC(=O)c1ccc(O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,96.09,['[1*]CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O[2*])cc2)cc1.[3*]CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O[4*])cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(=O)NCCCCCCNC(=O)CO*,31.96,['[1*]CC(=O)NCCCCCCNC(=O)CO[2*].[3*]CC(=O)NCCCCCCNC(=O)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOCCOC(=O)NCCCCCCNC(=O)O*,56.78,['[1*]CCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,35.73,['[1*]CCOCCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O*)cc2)cc1,47.87,['[1*]CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O[2*])cc2)cc1.[3*]CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O[4*])cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,25.61,['[1*]CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,22.98,['[1*]CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[2*].[3*]CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,31.10578095,['[1*]Oc1ccc(Oc2ccc(C(=O)c3ccc([2*])cc3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(C(=O)c3ccc([4*])cc3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(CC)(CC)CO*,41.8,['[1*]CC(CC)(CC)CO[2*].[3*]CC(CC)(CC)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOCC(=O)O*,55.93,['[1*]CCOCC(=O)O[2*].[3*]CCOCC(=O)O[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,38.53,['[1*]CCOCCOC(=O)c1ccc(C(=O)O[2*])cc1.[3*]CCOCCOC(=O)c1ccc(C(=O)O[4*])cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,29.77,['[1*]Oc1ccc(Oc2ccc(OC(=O)c3cccc(C([2*])=O)c3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(OC(=O)c3cccc(C([4*])=O)c3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(C)(CC)CO*,54.15,['[1*]CC(C)(CC)CO[2*].[3*]CC(C)(CC)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(C)(CO)CO*,41.42,['[1*]CC(C)(CO)CO[2*].[3*]CC(C)(CO)CO[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CC(CO*)(COC=O)COC=O,53.4,['[1*]CC(CO[2*])(COC=O)COC=O.[3*]CC(CO[4*])(COC=O)COC=O|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(*)cc4)c3)cc2)cc1,72.53,['[1*]Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc([2*])cc4)c3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc([4*])cc4)c3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,30.95,['[1*]Oc1ccc(Oc2ccc(C(=O)c3ccc([2*])cc3)cc2)cc1C.[3*]Oc1ccc(Oc2ccc(C(=O)c3ccc([4*])cc3)cc2)cc1C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,16.51,['[1*]CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O[2*])cc4)cc3)cc2)cc1.[3*]CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O[4*])cc4)cc3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,60.74,['[1*]Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc([2*])cc6)cc5)cc4)cc3)cc2)cc1.[3*]Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc([4*])cc6)cc5)cc4)cc3)cc2)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)c4)cc3)cc2)c1,40.05,['[1*]Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc([2*])cc6)cc5)c4)cc3)cc2)c1.[3*]Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc([4*])cc6)cc5)c4)cc3)cc2)c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,90.18,['[1*]c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n([2*])c(=O)c7cc6c5=O)c4)cc3)cc2)c1.[3*]c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n([4*])c(=O)c7cc6c5=O)c4)cc3)cc2)c1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5']
